GCA_900105505.1	 fna	 cf648a8c5df79e7bed353b07d09bae7e	 Corynebacterium coyleae 
GCA_938028245.1	 fna	 67c61453a3ee498c4dd57b613340902b	 Stomatobaculum longum 
GCA_016648925.1	 fna	 8a456c8daa69da950aa0975f5669c9fb	 Streptococcus parasanguinis 
GCA_000174175.1	 fna	 e70401a992d484976cb42ef876a5fb65	 Campylobacter rectus 
GCA_030450175.1	 fna	 7094acecf363fe188e007268e3841186	 Corynebacterium tuberculostearicum 
GCA_016648925.1	 ffn	 672bcefdc5482d4cc84f36b83779877c	 Streptococcus parasanguinis 
GCA_030450175.1	 ffn	 6b7669ed30aa457a0a38ec4e65716011	 Corynebacterium tuberculostearicum 
GCA_000174175.1	 ffn	 2f75a8837604cdd472897d064ae2d358	 Campylobacter rectus 
GCA_900105505.1	 ffn	 ea1d6db275da6a7221fcb3e0cbbd4e39	 Corynebacterium coyleae 
GCA_938028245.1	 ffn	 2e21cf25304d62e5a4be87c396b7565c	 Stomatobaculum longum 
GCA_900105505.1	 faa	 4fd6a8f8ffb323d053a16843a925e13b	 Corynebacterium coyleae 
GCA_938028245.1	 faa	 321d1afddd93437bb62870051baf2db9	 Stomatobaculum longum 
GCA_030450175.1	 faa	 241dcc7a06a187178b5f06516bc45a37	 Corynebacterium tuberculostearicum 
GCA_000174175.1	 faa	 de5dc5e096232105ab799365377ea471	 Campylobacter rectus 
GCA_016648925.1	 faa	 eec9443b6837b634a434591269cfcb8f	 Streptococcus parasanguinis 
